address,denom,amount,token_name
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/126DA09104B71B164883842B769C0E9EC1486C0887D27A9999E395C2C8FB5682,1,ibc/126DA09104B71B164883842B769C0E9EC1486C0887D27A9999E395C2C8FB5682
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,77972921,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,10842,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/4017C65CEA338196ECCEC3FE3FE8258F23D1DE88F1D95750CC912C7A1C1016FF,600452110,ibc/4017C65CEA338196ECCEC3FE3FE8258F23D1DE88F1D95750CC912C7A1C1016FF
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/573FCD90FACEE750F55A8864EF7D38265F07E5A9273FA0E8DAFD39951332B580,1435313609,ibc/573FCD90FACEE750F55A8864EF7D38265F07E5A9273FA0E8DAFD39951332B580
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4,6483151771,ibc/987C17B11ABC2B20019178ACE62929FE9840202CE79498E29FE8E5CB02B7C0A4
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,81961197,ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,712819690387,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,721415665,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,uosmo,2007080,OSMO
osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,645153893,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,53799530086,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C
osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,ibc/B9606D347599F0F2FDF82BA3EE339000673B7D274EA50F59494DC51EFCD42163,779241373818091262576,ibc/B9606D347599F0F2FDF82BA3EE339000673B7D274EA50F59494DC51EFCD42163
osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,977820838117,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228
osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,986250052,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,ibc/EDD6F0D66BCD49C1084FB2C35353B4ACD7B9191117CE63671B61320548F7C89D,15660727112,ibc/EDD6F0D66BCD49C1084FB2C35353B4ACD7B9191117CE63671B61320548F7C89D
osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,uosmo,2724971,OSMO
osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,ibc/161D7D62BAB3B9C39003334F1671208F43C06B643CC9EDBBE82B64793C857F1D,38380084,ibc/161D7D62BAB3B9C39003334F1671208F43C06B643CC9EDBBE82B64793C857F1D
osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,7035,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4
osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84,134666738363,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84
osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,ibc/9A76CDF0CBCEF37923F32518FA15E5DC92B9F56128292BC4D63C4AEA76CBB110,98993895830852787346,ibc/9A76CDF0CBCEF37923F32518FA15E5DC92B9F56128292BC4D63C4AEA76CBB110
osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1335249432,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,uosmo,1977885,OSMO
osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,ibc/094FB70C3006906F67F5D674073D2DAFAFB41537E7033098F5C752F211E7B6C2,22529619,ibc/094FB70C3006906F67F5D674073D2DAFAFB41537E7033098F5C752F211E7B6C2
osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,ibc/126DA09104B71B164883842B769C0E9EC1486C0887D27A9999E395C2C8FB5682,248579086,ibc/126DA09104B71B164883842B769C0E9EC1486C0887D27A9999E395C2C8FB5682
osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,78034717,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4
