address,denom,amount,token_name
osmo1ka4sczlphz4a2skqh50zujffcyy274dphtngds,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,1885422,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C
osmo1ka4sczlphz4a2skqh50zujffcyy274dphtngds,uosmo,934768,OSMO
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,factory/osmo1z0qrq605sjgcqpylfl4aa6s90x738j7m58wyatt0tdzflg2ha26q67k743/wbtc,4478,factory/osmo1z0qrq605sjgcqpylfl4aa6s90x738j7m58wyatt0tdzflg2ha26q67k743/wbtc
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,70,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,ibc/573FCD90FACEE750F55A8864EF7D38265F07E5A9273FA0E8DAFD39951332B580,8,ibc/573FCD90FACEE750F55A8864EF7D38265F07E5A9273FA0E8DAFD39951332B580
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,ibc/831F0B1BBB1D08A2B75311892876D71565478C532967545476DF4C2D7492E48C,18051605522934,ibc/831F0B1BBB1D08A2B75311892876D71565478C532967545476DF4C2D7492E48C
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,ibc/9A76CDF0CBCEF37923F32518FA15E5DC92B9F56128292BC4D63C4AEA76CBB110,3546762644200,ibc/9A76CDF0CBCEF37923F32518FA15E5DC92B9F56128292BC4D63C4AEA76CBB110
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,14858832407,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,ibc/C140AFD542AE77BD7DCC83F13FDD8C5E5BB8C4929785E6EC2F4C636F98F17901,80,ibc/C140AFD542AE77BD7DCC83F13FDD8C5E5BB8C4929785E6EC2F4C636F98F17901
osmo1n2270jpgecxxfffkucfnyp0zffeh4h076s2qru,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,534,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F
