Group,wallet_address,token_name,token_address,amount,denom
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,arch,ibc/23AB778D694C1ECFC59B91D8C399C115CC53B0BD1C61020D8E19519F002BDD85,415650912676,ARCH
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,bld,ibc/2DA9C149E9AD2BD27FEFA635458FB37093C256C1A940392634A16BEA45262604,1915780,ibc/2DA9C149E9AD2BD27FEFA635458FB37093C256C1A940392634A16BEA45262604
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,usdc,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,25368,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,usdt,ibc/4ABBEF4C8926DDDB320AE5188CFD63267ABBCEFC0583E4AE05D6E5AA2401DDAB,26598,ibc/4ABBEF4C8926DDDB320AE5188CFD63267ABBCEFC0583E4AE05D6E5AA2401DDAB
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,c4e,ibc/62118FB4D5FEDD5D2B18DC93648A745CD5E5B01D420E9B7A5FED5381CB13A7E8,4,ibc/62118FB4D5FEDD5D2B18DC93648A745CD5E5B01D420E9B7A5FED5381CB13A7E8
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,99,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,evmos,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,80651784971609,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,cheq,ibc/7A08C6F11EF0F59EB841B9F788A87EC9F2361C7D9703157EC13D940DC53031FA,25372827446,ibc/7A08C6F11EF0F59EB841B9F788A87EC9F2361C7D9703157EC13D940DC53031FA
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,strd,ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,38,ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,flix,ibc/CEE970BB3D26F4B907097B6B660489F13F3B0DA765B83CC7D9A0BC0CE220FA6F,11,ibc/CEE970BB3D26F4B907097B6B660489F13F3B0DA765B83CC7D9A0BC0CE220FA6F
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,3436367646,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,cudos,ibc/E09ED39F390EC51FA9F3F69BEA08B5BBE6A48B3057B2B1C3467FAAE9E58B021B,8126798115478,ibc/E09ED39F390EC51FA9F3F69BEA08B5BBE6A48B3057B2B1C3467FAAE9E58B021B
1,osmo1k6ue45fjgg8yh63d2hakt5a5hyn8yyvvksth4k,osmo,uosmo,858736,OSMO
1,osmo152fwqsla5lxfu3sgy65naf7w2up0za8fd54ght,akt,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,10,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4
