Group,wallet_address,token_name,token_address,amount,denom
2,osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,strd,ibc/A8CA5EE328FA10C9519DF6057DA1F69682D28F7D0F5CCC7ECB72E3DCA2D157A4,81961197,
2,osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,huahua,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,7.1282E+11,
2,osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,721415665,
2,osmo16a6fuc6ruzmt0vu8gwjwrah3zdgr9wtlrnyd93,osmo,uosmo,2007080,
2,osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,juno,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,645153893,
2,osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,umee,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,53799530086,
2,osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,nom,ibc/B9606D347599F0F2FDF82BA3EE339000673B7D274EA50F59494DC51EFCD42163,7.79241E+20,
2,osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,huahua,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,9.77821E+11,
2,osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,986250052,
2,osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,whale,ibc/EDD6F0D66BCD49C1084FB2C35353B4ACD7B9191117CE63671B61320548F7C89D,15660727112,
2,osmo1vqdth43tl2rv6u5pp4e4q8u482mwre8d3fvysj,osmo,uosmo,2724971,
2,osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,orai,ibc/161D7D62BAB3B9C39003334F1671208F43C06B643CC9EDBBE82B64793C857F1D,38380084,
2,osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,usdc,ibc/498A0751C798A0D9A389AA3691123DADA57DAA4FE165D5C75894505B876BA6E4,7035,
2,osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,dvpn,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84,1.34667E+11,
2,osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,dym,ibc/9A76CDF0CBCEF37923F32518FA15E5DC92B9F56128292BC4D63C4AEA76CBB110,9.89939E+19,
2,osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,usdc.axl,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,1335249432,
2,osmo1tfcyscn264huegdm43a6dt3tmwkfejtyj5qt7j,osmo,uosmo,1977885,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,saga,ibc/094FB70C3006906F67F5D674073D2DAFAFB41537E7033098F5C752F211E7B6C2,22529619,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,ntrn,ibc/126DA09104B71B164883842B769C0E9EC1486C0887D27A9999E395C2C8FB5682,248579086,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,akt,ibc/1480B8FD20AD5FCAE81EA87584D269547DD4D436843C1D20F15E00EB64743EF4,78034717,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,arch,ibc/23AB778D694C1ECFC59B91D8C399C115CC53B0BD1C61020D8E19519F002BDD85,1.37703E+21,
2,osmo10t8vgwca87cdn5t8mjddajqnwhrprh3p3lylat,bld,ibc/2DA9C149E9AD2BD27FEFA635458FB37093C256C1A940392634A16BEA45262604,2547104511,
